Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C4, C5, C6, C7, C8",0402,6,100nF,C1525
"C2, C3, C9",1206,3,10uF,C7171
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D61, D7, D8, D9",D_SOD-323,61,D_Small,C2128
D62,D_SMB,1,D_TVS,C78395
F1,0402,1,"500mA Trip, 200mA hold",C914085
J1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C Female End - USB2.0 (16 pins),C22383818
"R1, R2",0603,2,5.1kΩ,C21190
R3,0805,1,10kΩ,C17414
SW1,SW_Push_1P1T_XKB_TS-1187A,1,TOGGLE,C318884
U1,LQFP-48_7x7mm_P0.5mm,1,STM32F072CBTx,C81720
U2,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186
U3,SOT-23-6,1,USBLC6-2SC6,C7519
